max given buckets: 10
starting algorithm at: 16:32:50.016497

no optimal variance wanted. using threshold: 0.4
finishing algorithm at: 16:32:50.018486

running time of algorithm: 0:00:00.001989

[(0, -3.99) (0, -3.98) (0, -3.97) (0, -3.97) (0, -3.97) (0, -3.96)
 (0, -2.93) (0, -2.91) (0, -2.91) (0, -2.91) (0, -2.89) (0, -2.87)
 (0, -2.86) (0, -2.86) (0, -2.86) (0, -2.85) (0, -2.84) (0, -2.84)
 (0, -2.82) (0, -2.81) (0, -2.81) (0, -2.8 ) (0, -2.8 ) (0, -2.77)
 (0, -2.77) (0, -2.76) (0, -2.76) (0, -2.74) (0, -2.74) (0, -2.7 )
 (0, -2.69) (0, -2.69) (0, -2.69) (0, -2.69) (0, -2.68) (0, -2.68)
 (0, -2.67) (0, -2.67) (0, -2.65) (0, -2.65) (0, -2.63) (0, -2.63)
 (0, -2.63) (0, -2.62) (0, -2.61) (0, -2.61) (0, -2.6 ) (0, -2.58)
 (0, -2.56) (0, -2.56) (0, -2.55) (0, -2.55) (0, -2.55) (0, -2.55)
 (0, -2.55) (0, -2.54) (0, -2.54) (0, -2.54) (0, -2.54) (0, -2.53)
 (0, -2.52) (0, -2.51) (0, -2.5 ) (0, -2.49) (0, -2.49) (0, -2.47)
 (0, -2.47) (0, -2.47) (0, -2.45) (0, -2.45) (0, -2.45) (0, -2.45)
 (0, -2.44) (0, -2.44) (0, -2.44) (0, -2.42) (0, -2.39) (0, -2.39)
 (0, -2.38) (0, -2.38) (0, -2.38) (0, -2.37) (0, -2.37) (0, -2.37)
 (0, -2.35) (0, -2.35) (0, -2.34) (0, -2.34) (0, -2.34) (0, -2.34)
 (0, -2.34) (0, -2.32) (0, -2.32) (0, -2.31) (0, -2.31) (0, -2.29)
 (0, -2.29) (0, -2.29) (0, -2.28) (0, -2.26) (0, -2.26) (0, -2.25)
 (0, -2.24) (0, -2.24) (0, -2.19) (0, -2.19) (0, -2.18) (0, -2.17)
 (0, -2.17) (0, -2.16) (0, -2.15) (0, -2.15) (0, -2.15) (0, -2.15)
 (0, -2.12) (0, -2.12) (0, -2.1 ) (0, -2.09) (0, -2.08) (0, -2.08)
 (0, -2.08) (0, -2.05) (0, -2.04) (0, -2.04) (0, -2.02) (0, -2.02)
 (0, -2.02) (0, -2.  ) (0, -2.  ) (0, -2.  ) (0, -1.99) (0, -1.99)
 (0, -1.99) (0, -1.97) (0, -1.95) (0, -1.95) (0, -1.95) (0, -1.94)
 (0, -1.93) (0, -1.93) (0, -1.92) (0, -1.92) (0, -1.92) (0, -1.92)
 (0, -1.91) (0, -1.91) (0, -1.9 ) (0, -1.85) (0, -1.84) (0, -1.83)
 (0, -1.83) (0, -1.83) (0, -1.82) (0, -1.81) (0, -1.81) (0, -1.8 )
 (0, -1.79) (0, -1.79) (0, -1.76) (0, -1.76) (0, -1.74) (0, -1.74)
 (0, -1.74) (0, -1.73) (0, -1.73) (0, -1.72) (0, -1.72) (0, -1.72)
 (0, -1.71) (0, -1.7 ) (0, -1.68) (0, -1.68) (0, -1.68) (0, -1.67)
 (0, -1.67) (0, -1.64) (0, -1.64) (0, -1.64) (0, -1.63) (0, -1.61)
 (0, -1.6 ) (0, -1.6 ) (0, -1.6 ) (0, -1.59) (0, -1.57) (0, -1.57)
 (0, -1.55) (0, -1.55) (0, -1.55) (0, -1.55) (0, -1.55) (0, -1.51)
 (0, -1.5 ) (0, -1.49) (0, -1.49) (0, -1.47) (0, -1.47) (0, -1.46)
 (0, -1.46) (0, -1.46) (0, -1.45) (0, -1.44) (0, -1.44) (0, -1.43)
 (0, -1.41) (0, -1.4 ) (0, -1.37) (0, -1.37) (0, -1.37) (0, -1.37)
 (0, -1.36) (0, -1.36) (0, -1.36) (0, -1.36) (0, -1.35) (0, -1.35)
 (0, -1.35) (0, -1.33) (0, -1.31) (0, -1.3 ) (0, -1.28) (0, -1.26)
 (0, -1.22) (0, -1.21) (0, -1.17) (0, -1.16) (0, -1.16) (0, -1.16)
 (0, -1.13) (0, -1.12) (0, -1.12) (0, -1.1 ) (0, -1.09) (0, -1.09)
 (0, -1.08) (0, -1.08) (0, -1.07) (0, -1.07) (0, -1.07) (0, -1.06)
 (0, -1.05) (0, -1.05) (0, -1.04) (0, -1.01) (0, -1.  ) (0, -0.98)
 (0, -0.97) (0, -0.96) (0, -0.96) (0, -0.96) (0, -0.94) (0, -0.93)
 (0, -0.92) (0, -0.92) (0, -0.92) (0, -0.89) (0, -0.88) (0, -0.85)
 (0, -0.84) (0, -0.84) (0, -0.84) (0, -0.82) (0, -0.82) (0, -0.82)
 (0, -0.81) (0, -0.8 ) (0, -0.8 ) (0, -0.79) (0, -0.79) (0, -0.76)
 (0, -0.76) (0, -0.76) (0, -0.75) (0, -0.74) (0, -0.74) (0, -0.73)
 (0, -0.73) (0, -0.71) (0, -0.71) (0, -0.7 ) (0, -0.68) (0, -0.67)
 (0, -0.67) (0, -0.67) (0, -0.67) (0, -0.65) (0, -0.65) (0, -0.64)
 (0, -0.63) (0, -0.63) (0, -0.63) (0, -0.6 ) (0, -0.6 ) (0, -0.59)
 (0, -0.58) (0, -0.58) (0, -0.58) (0, -0.58) (0, -0.58) (0, -0.58)
 (0, -0.57) (0, -0.57) (0, -0.55) (0, -0.54) (0, -0.53) (0, -0.53)
 (0, -0.53) (0, -0.53) (0, -0.52) (0, -0.52) (0, -0.52) (0, -0.52)
 (0, -0.51) (0, -0.5 ) (0, -0.5 ) (0, -0.49) (0, -0.49) (0, -0.49)
 (0, -0.49) (0, -0.47) (0, -0.47) (0, -0.47) (0, -0.47) (0, -0.46)
 (0, -0.45) (0, -0.45) (0, -0.43) (0, -0.43) (0, -0.42) (0, -0.41)
 (0, -0.41) (0, -0.4 ) (0, -0.4 ) (0, -0.38) (0, -0.37) (0, -0.34)
 (0, -0.34) (0, -0.33) (0, -0.31) (0, -0.29) (0, -0.29) (0, -0.27)
 (0, -0.26) (0, -0.26) (0, -0.25) (0, -0.25) (0, -0.22) (0, -0.21)
 (0, -0.2 ) (0, -0.2 ) (0, -0.19) (0, -0.18) (0, -0.17) (0, -0.17)
 (0, -0.16) (0, -0.16) (0, -0.16) (0, -0.14) (0, -0.14) (0, -0.14)
 (0, -0.13) (0, -0.12) (0, -0.12) (0, -0.12) (0, -0.1 ) (0, -0.1 )
 (0, -0.09) (0, -0.09) (0, -0.09) (1, -0.08) (1, -0.08) (1, -0.08)
 (1, -0.06) (1, -0.06) (1, -0.05) (1, -0.04) (1, -0.03) (1, -0.02)
 (1, -0.01) (1, -0.  ) (1,  0.01) (1,  0.02) (1,  0.03) (1,  0.04)
 (1,  0.04) (1,  0.04) (1,  0.05) (1,  0.05) (1,  0.05) (1,  0.06)
 (1,  0.06) (1,  0.08) (1,  0.08) (1,  0.08) (1,  0.09) (1,  0.09)
 (1,  0.1 ) (1,  0.12) (1,  0.12) (1,  0.14) (1,  0.15) (1,  0.18)
 (1,  0.19) (1,  0.2 ) (1,  0.2 ) (1,  0.2 ) (1,  0.2 ) (1,  0.21)
 (1,  0.22) (1,  0.23) (1,  0.25) (1,  0.25) (1,  0.26) (1,  0.27)
 (1,  0.28) (1,  0.28) (1,  0.28) (1,  0.3 ) (1,  0.33) (1,  0.34)
 (1,  0.35) (1,  0.36) (1,  0.36) (1,  0.36) (1,  0.36) (1,  0.37)
 (1,  0.37) (1,  0.37) (1,  0.37) (1,  0.39) (1,  0.39) (1,  0.41)
 (1,  0.42) (1,  0.42) (1,  0.43) (1,  0.44) (1,  0.44) (1,  0.44)
 (1,  0.45) (1,  0.45) (1,  0.45) (1,  0.47) (1,  0.47) (1,  0.47)
 (1,  0.48) (1,  0.49) (1,  0.5 ) (1,  0.5 ) (1,  0.5 ) (1,  0.5 )
 (1,  0.5 ) (1,  0.51) (1,  0.54) (1,  0.55) (1,  0.56) (1,  0.56)
 (1,  0.56) (1,  0.59) (1,  0.6 ) (1,  0.61) (1,  0.62) (1,  0.63)
 (1,  0.63) (1,  0.66) (1,  0.67) (1,  0.68) (1,  0.69) (1,  0.7 )
 (1,  0.71) (1,  0.71) (1,  0.72) (1,  0.72) (1,  0.72) (1,  0.72)
 (1,  0.73) (1,  0.73) (1,  0.74) (1,  0.75) (1,  0.76) (1,  0.76)
 (1,  0.77) (1,  0.77) (1,  0.81) (1,  0.81) (1,  0.83) (1,  0.83)
 (1,  0.83) (1,  0.83) (1,  0.84) (1,  0.86) (1,  0.89) (1,  0.89)
 (1,  0.89) (1,  0.9 ) (1,  0.9 ) (1,  0.91) (1,  0.92) (1,  0.93)
 (1,  0.93) (1,  0.94) (1,  0.94) (1,  0.94) (1,  0.95) (1,  0.95)
 (1,  0.96) (1,  0.97) (1,  0.97) (1,  0.98) (1,  0.98) (1,  1.  )
 (1,  1.  ) (1,  1.01) (1,  1.01) (1,  1.03) (1,  1.04) (1,  1.04)
 (1,  1.06) (1,  1.08) (1,  1.09) (1,  1.1 ) (1,  1.12) (1,  1.14)
 (1,  1.14) (1,  1.14) (1,  1.15) (1,  1.15) (1,  1.15) (1,  1.15)
 (1,  1.16) (1,  1.18) (1,  1.2 ) (1,  1.21) (1,  1.21) (1,  1.22)
 (1,  1.24) (1,  1.25) (1,  1.25) (1,  1.25) (1,  1.27) (1,  1.29)
 (1,  1.29) (1,  1.29) (1,  1.33) (1,  1.34) (1,  1.34) (1,  1.34)
 (1,  1.36) (1,  1.37) (1,  1.38) (1,  1.39) (1,  1.39) (1,  1.41)
 (1,  1.41) (1,  1.42) (1,  1.42) (1,  1.44) (1,  1.45) (1,  1.46)
 (1,  1.47) (1,  1.48) (1,  1.49) (1,  1.5 ) (1,  1.5 ) (1,  1.5 )
 (1,  1.51) (1,  1.51) (1,  1.55) (1,  1.55) (1,  1.57) (1,  1.57)
 (1,  1.58) (1,  1.6 ) (1,  1.6 ) (1,  1.61) (1,  1.62) (1,  1.62)
 (1,  1.62) (1,  1.63) (1,  1.65) (1,  1.65) (1,  1.65) (1,  1.65)
 (1,  1.67) (1,  1.68) (1,  1.68) (1,  1.69) (1,  1.69) (1,  1.7 )
 (1,  1.71) (1,  1.73) (1,  1.73) (1,  1.74) (1,  1.74) (1,  1.75)
 (1,  1.76) (1,  1.77) (1,  1.77) (1,  1.78) (1,  1.78) (1,  1.78)
 (1,  1.8 ) (1,  1.81) (1,  1.82) (1,  1.83) (1,  1.84) (1,  1.84)
 (1,  1.85) (1,  1.85) (1,  1.85) (1,  1.86) (1,  1.88) (1,  1.88)
 (1,  1.88) (1,  1.89) (1,  1.9 ) (1,  1.9 ) (1,  1.9 ) (1,  1.9 )
 (1,  1.92) (1,  1.93) (1,  1.95) (1,  1.96) (1,  1.97) (1,  1.98)
 (1,  1.98) (1,  1.98) (1,  1.99) (1,  1.99) (1,  2.  ) (1,  2.02)
 (1,  2.02) (1,  2.03) (1,  2.03) (1,  2.04) (1,  2.05) (1,  2.06)
 (1,  2.06) (1,  2.07) (1,  2.08) (1,  2.08) (1,  2.08) (1,  2.09)
 (1,  2.11) (1,  2.12) (1,  2.13) (1,  2.14) (1,  2.14) (1,  2.16)
 (1,  2.18) (1,  2.18) (1,  2.19) (1,  2.22) (1,  2.22) (1,  2.25)
 (1,  2.27) (1,  2.27) (1,  2.27) (1,  2.28) (1,  2.28) (1,  2.28)
 (1,  2.29) (1,  2.29) (1,  2.3 ) (1,  2.3 ) (1,  2.32) (1,  2.32)
 (1,  2.36) (1,  2.36) (1,  2.36) (1,  2.37) (1,  2.37) (1,  2.41)
 (1,  2.41) (1,  2.41) (1,  2.41) (1,  2.42) (1,  2.42) (1,  2.43)
 (1,  2.47) (1,  2.48) (1,  2.49) (1,  2.49) (1,  2.49) (1,  2.5 )
 (1,  2.5 ) (1,  2.52) (1,  2.53) (1,  2.53) (1,  2.53) (1,  2.54)
 (1,  2.54) (1,  2.54) (1,  2.55) (1,  2.57) (1,  2.57) (1,  2.58)
 (1,  2.58) (1,  2.59) (1,  2.6 ) (1,  2.61) (1,  2.62) (1,  2.62)
 (1,  2.65) (1,  2.66) (1,  2.66) (1,  2.67) (1,  2.68) (1,  2.69)
 (1,  2.7 ) (1,  2.7 ) (1,  2.71) (1,  2.71) (1,  2.72) (1,  2.74)
 (1,  2.76) (1,  2.77) (1,  2.82) (1,  2.82) (1,  2.83) (1,  2.84)
 (1,  2.85) (1,  2.88) (1,  2.9 ) (1,  2.91) (1,  2.91) (1,  2.91)
 (1,  2.92) (1,  2.93) (1,  2.93) (1,  2.96) (1,  2.98) (1,  2.99)
 (1,  3.01) (1,  3.02) (1,  3.02) (1,  3.03) (1,  3.03) (1,  3.03)
 (1,  3.05) (1,  3.06) (1,  3.07) (1,  3.07) (1,  3.07) (1,  3.07)
 (1,  3.08) (1,  3.09) (1,  3.1 ) (1,  3.1 ) (1,  3.1 ) (1,  3.11)
 (1,  3.13) (1,  3.15) (1,  3.18) (1,  3.18) (1,  3.18) (1,  3.19)
 (1,  3.2 ) (1,  3.2 ) (1,  3.21) (1,  3.22) (1,  3.22) (1,  3.22)
 (1,  3.23) (1,  3.26) (1,  3.27) (1,  3.27) (1,  3.3 ) (1,  3.32)
 (1,  3.32) (1,  3.36) (1,  3.36) (1,  3.37) (1,  3.37) (1,  3.37)
 (1,  3.37) (1,  3.38) (1,  3.39) (1,  3.42) (1,  3.42) (1,  3.43)
 (1,  3.43) (1,  3.44) (1,  3.45) (1,  3.46) (1,  3.47) (1,  3.47)
 (1,  3.47) (1,  3.48) (1,  3.49) (1,  3.5 ) (1,  3.5 ) (1,  3.5 )
 (1,  3.51) (1,  3.51) (1,  3.52) (1,  3.54) (1,  3.54) (1,  3.54)
 (1,  3.56) (1,  3.57) (1,  3.57) (1,  3.58) (1,  3.6 ) (1,  3.6 )
 (1,  3.62) (1,  3.62) (1,  3.62) (1,  3.63) (1,  3.63) (1,  3.64)
 (1,  3.64) (1,  3.65) (1,  3.65) (1,  3.65) (1,  3.66) (1,  3.66)
 (1,  3.68) (1,  3.69) (1,  3.7 ) (1,  3.7 ) (1,  3.7 ) (1,  3.71)
 (1,  3.72) (1,  3.72) (1,  3.72) (1,  3.72) (1,  3.75) (1,  3.76)
 (1,  3.78) (1,  3.78) (1,  3.78) (1,  3.78) (1,  3.78) (1,  3.78)
 (1,  3.8 ) (1,  3.8 ) (1,  3.81) (1,  3.83) (1,  3.83) (1,  3.84)
 (1,  3.85) (1,  3.86) (1,  3.86) (1,  3.86) (1,  3.87) (1,  3.87)
 (1,  3.87) (1,  3.87) (1,  3.89) (1,  3.9 ) (1,  3.91) (1,  3.94)
 (1,  3.95) (1,  3.95) (1,  3.96) (1,  3.97) (1,  3.98) (1,  3.98)
 (1,  3.98) (1,  3.99) (1,  3.99) (1,  4.  )]


analyzing the results:
number of max cluster size: 10
number of actually used clusters: 2
min value of all elements: -3.99
max value of all elements: 4.0
mean of all elements: -0.08256
median of all elements: -0.12
standard deviation of all elements: 2.3230632463193936
variance of all elements: 5.3966228464
distribution of all clusters: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]

cluster #0: 	sum elements:507  	min value: -3.99 	max value: -0.09 	mean: -2.1 	std deviation: 1.144 	median: -2.12
cluster #0 homoscedasticity given with ratio = 1.1310153691106073
cluster #1: 	sum elements:493  	min value: -0.08 	max value: 4.0 	mean: 1.9 	std deviation: 1.214 	median: 1.9
cluster #1 homoscedasticity given with ratio = 1.1248852157943068
homoscedasticity given for 2 of 2 used clusters

number of elements: 1000

built clusters:
cluster #0: -3.99 -- -0.09 (507)
cluster #1: -0.08 -- 4.0 (493)

score even distribution (SED) MAX: 2.50e+05
score even distribution (SED) MAX: 249951.0
SED number of digits: 6

number of used clusters (NUC) MAX: 0.2

sum variances (SV) MIN: 2.7774574788474906
sum variances (SV) MIN: 2.78e+00
ratio between SED and sv digits MAX: 0
SUM: NUC(MAX): 0.2	 SED(MAX): 2.50e+05	 SV(MIN): 2.78e+00

Mean Silhouette Coefficient of all clusters MSC(MAX): 0.62
(best value is 1 and the worst value is -1. Values near 0 indicate overlapping clusters)

Davies-Bouldin score DB(MIN): 0.51
(The minimum score is zero, with lower values indicating better clustering.)

Process finished with exit code 0
